,title,abstract,subject,input
0,"Modelagem de reforma catalítica seca de metano a gás de síntese, utilizando machine learning e redes neurais","Estamos vivenciando o início da Era da Informação, onde enormes quantidades de dados são
geradas a cada instante, principalmente em decorrência da rápida modernização e
desenvolvimento tecnológico que têm acontecido nos mais diversos setores da sociedade. Com
isso, no âmbito das indústrias estamos presenciando o desenrolar da 4ª Revolução Industrial,
ou Indústria 4.0, fortemente marcada pela automação, inteligência artificial e Big Data. Essa
revolução e as novas tecnologias trazidas por ela, podem trazer grandes melhorias à indústria,
modificando as relações de trabalho e aumentando significativamente a eficiência, segurança e
qualidade dos processos industriais. Uma das tecnologias que trazem grande impacto em
diversas áreas, é o campo da inteligência artificial, um conjunto de recursos computacionais
que podem ser usados para modelar e resolver problemas de alta complexidade utilizando muito
menos recursos do que métodos tradicionais. Na Indústria Química, inteligências artificiais
podem ser usadas por exemplo na modelagem de processos complexos, não-lineares e que
contenham grande número de variáveis associadas, tornando difícil desenvolver modelos
fenomenológicos robustos e precisos o suficiente para prever esses processos. Um exemplo de
processo complexo que pode se valer de tais tecnologias é a produção de gás de síntese, através
da reforma catalítica de metano. O gás de síntese é uma mistura gasosa composta por gás
hidrogênio e monóxido de carbono, de grande interesse econômico pois pode ser utilizado para
obter vários produtos com alto valor agregado, como amônia, hidrogênio combustível, e
hidrocarbonetos incluindo combustíveis sintéticos. Além disso o processo de reforma catalítica
seca, consome o metano e o gás carbônico, os dois principais causadores de efeito estufa,
transformando-os em compostos que terão menos impacto ambiental. Porém, devido à
complexidade e baixa linearidade presente nestes processos, torna-se difícil gerar modelos
fenomenológicos precisos, e que possam se valer dos dados disponíveis. Assim a utilização de
inteligências artificias, nesse caso, de métodos Machine Learning podem trazer avanços no
desenvolvimento, controle e entendimento desses processos. Neste trabalho foram utilizados
métodos de Machine Learning, dentre eles as redes neurais artificiais, para modelagem da
reforma catalítica seca do metano para a produção de gás de síntese, a partir de dados
experimentais obtidos na literatura. Os modelos desenvolvidos foram avaliados através de
métricas de regressão e comparados entre si buscando aqueles que apresentaram melhor
desempenho. Os modelos de redes neurais obtiveram o melhor desempenho entre os modelos
testados, apresentando coeficientes de determinação acima de 0,97 na previsão das taxas de
produção dos componentes do gás de síntese e erros relativos médios de até 6,22%. Os
resultados apontam para a utilidade desses modelos para uso industrial e acadêmico na
modelagem de processos químicos complexos.",machinelearning,"Modelagem de reforma catalítica seca de metano a gás de síntese, utilizando machine learning e redes neurais Estamos vivenciando o início da Era da Informação, onde enormes quantidades de dados são
geradas a cada instante, principalmente em decorrência da rápida modernização e
desenvolvimento tecnológico que têm acontecido nos mais diversos setores da sociedade. Com
isso, no âmbito das indústrias estamos presenciando o desenrolar da 4ª Revolução Industrial,
ou Indústria 4.0, fortemente marcada pela automação, inteligência artificial e Big Data. Essa
revolução e as novas tecnologias trazidas por ela, podem trazer grandes melhorias à indústria,
modificando as relações de trabalho e aumentando significativamente a eficiência, segurança e
qualidade dos processos industriais. Uma das tecnologias que trazem grande impacto em
diversas áreas, é o campo da inteligência artificial, um conjunto de recursos computacionais
que podem ser usados para modelar e resolver problemas de alta complexidade utilizando muito
menos recursos do que métodos tradicionais. Na Indústria Química, inteligências artificiais
podem ser usadas por exemplo na modelagem de processos complexos, não-lineares e que
contenham grande número de variáveis associadas, tornando difícil desenvolver modelos
fenomenológicos robustos e precisos o suficiente para prever esses processos. Um exemplo de
processo complexo que pode se valer de tais tecnologias é a produção de gás de síntese, através
da reforma catalítica de metano. O gás de síntese é uma mistura gasosa composta por gás
hidrogênio e monóxido de carbono, de grande interesse econômico pois pode ser utilizado para
obter vários produtos com alto valor agregado, como amônia, hidrogênio combustível, e
hidrocarbonetos incluindo combustíveis sintéticos. Além disso o processo de reforma catalítica
seca, consome o metano e o gás carbônico, os dois principais causadores de efeito estufa,
transformando-os em compostos que terão menos impacto ambiental. Porém, devido à
complexidade e baixa linearidade presente nestes processos, torna-se difícil gerar modelos
fenomenológicos precisos, e que possam se valer dos dados disponíveis. Assim a utilização de
inteligências artificias, nesse caso, de métodos Machine Learning podem trazer avanços no
desenvolvimento, controle e entendimento desses processos. Neste trabalho foram utilizados
métodos de Machine Learning, dentre eles as redes neurais artificiais, para modelagem da
reforma catalítica seca do metano para a produção de gás de síntese, a partir de dados
experimentais obtidos na literatura. Os modelos desenvolvidos foram avaliados através de
métricas de regressão e comparados entre si buscando aqueles que apresentaram melhor
desempenho. Os modelos de redes neurais obtiveram o melhor desempenho entre os modelos
testados, apresentando coeficientes de determinação acima de 0,97 na previsão das taxas de
produção dos componentes do gás de síntese e erros relativos médios de até 6,22%. Os
resultados apontam para a utilidade desses modelos para uso industrial e acadêmico na
modelagem de processos químicos complexos."
1,"Aplicação de machine learning para apostas esportivas: uso de regressão logística, SVM, árvore de decisão e Naive Bayes","As práticas esportivas surgiram de atividades visando lazer e entretenimento, com o passar dos anos surgiu também um interesse econômico, e uma das ramificações é a aposta esportiva, cujo primeiro relato remonta aos Jogos Olímpicos da Antiguidade na época da Grécia antiga. Com o desenvolvimento da tecnologia e o advento da internet, as informações, os resultados, e o interesse pelo esporte e pelas apostas aumentaram, sendo possível fazer diferentes tipos de apostas em variados esportes. O futebol, por exemplo, influencia a vida de 3,5 bilhões de pessoas no mundo todo e é preferência nas apostas dos brasileiros. No Brasil entre 2018 e 2022 mesmo com a pandemia da Covid-19 o mercado local de apostas saiu de 2 bilhões de reais em movimentação para 7 bilhões, enquanto o mercado global foi avaliado no ano de 2020 em 59,6 bilhões de dólares, podendo chegar em 127,3 bilhões em 2027. O presente trabalho pretende gerar previsões dos resultados de jogos de futebol a partir de quatro métodos de machine learning e cinco ligas nacionais de futebol, com o objetivo de identificar qual a melhor combinação de método e liga que gera maior nível de assertividade nas previsões, além de verificar se com uma série de dados mais longa é possível obter uma melhoria na assertividade das previsões. Para tanto, desenvolvemos códigos, na linguagem de programação python, abordando quatro técnicas de machine learning: regressão logística, SVM, árvore de decisão e Naive Bayes. Utilizamos dados de cinco ligas nacionais de futebol: Brasil, Inglaterra, Itália, Espanha e França, com uma divisão dos dados para as 5 e as 10 últimas temporadas completas para efeito de comparação de resultados. Como resultado, foi possível observar que ao utilizar dados de 5 temporadas a melhor combinação foi aplicar regressão logística na Premier League e para 10 temporadas aplicar regressão logística ou SVM na Serie A, já que ambos tiveram mesmo desempenho. Quanto à comparação entre dados de 5 versus 10 temporadas houve ganhos em 3 das 5 ligas em relação às assertividades das previsões.",machinelearning,"Aplicação de machine learning para apostas esportivas: uso de regressão logística, SVM, árvore de decisão e Naive Bayes As práticas esportivas surgiram de atividades visando lazer e entretenimento, com o passar dos anos surgiu também um interesse econômico, e uma das ramificações é a aposta esportiva, cujo primeiro relato remonta aos Jogos Olímpicos da Antiguidade na época da Grécia antiga. Com o desenvolvimento da tecnologia e o advento da internet, as informações, os resultados, e o interesse pelo esporte e pelas apostas aumentaram, sendo possível fazer diferentes tipos de apostas em variados esportes. O futebol, por exemplo, influencia a vida de 3,5 bilhões de pessoas no mundo todo e é preferência nas apostas dos brasileiros. No Brasil entre 2018 e 2022 mesmo com a pandemia da Covid-19 o mercado local de apostas saiu de 2 bilhões de reais em movimentação para 7 bilhões, enquanto o mercado global foi avaliado no ano de 2020 em 59,6 bilhões de dólares, podendo chegar em 127,3 bilhões em 2027. O presente trabalho pretende gerar previsões dos resultados de jogos de futebol a partir de quatro métodos de machine learning e cinco ligas nacionais de futebol, com o objetivo de identificar qual a melhor combinação de método e liga que gera maior nível de assertividade nas previsões, além de verificar se com uma série de dados mais longa é possível obter uma melhoria na assertividade das previsões. Para tanto, desenvolvemos códigos, na linguagem de programação python, abordando quatro técnicas de machine learning: regressão logística, SVM, árvore de decisão e Naive Bayes. Utilizamos dados de cinco ligas nacionais de futebol: Brasil, Inglaterra, Itália, Espanha e França, com uma divisão dos dados para as 5 e as 10 últimas temporadas completas para efeito de comparação de resultados. Como resultado, foi possível observar que ao utilizar dados de 5 temporadas a melhor combinação foi aplicar regressão logística na Premier League e para 10 temporadas aplicar regressão logística ou SVM na Serie A, já que ambos tiveram mesmo desempenho. Quanto à comparação entre dados de 5 versus 10 temporadas houve ganhos em 3 das 5 ligas em relação às assertividades das previsões."
2,"Social machines: a unified paradigm to describe, design and implement emerging social systems","The open, distributed approach of the Web and the relationship’s prevalence of
applications and services are transforming both the way we develop software
and how they operate and interact with each other. As a result, a novel breed of
applications is emerging, and consequently new mental models are needed to
deal with them. In this context, Social Machines appear as a promising model
for developing software. However, it is a fresh topic, with concepts and
definitions coming from different research fields, making a unified
understanding of the concept a somewhat challenging endeavor. In this thesis
we provide a more coherent conceptual basis for understanding Social Machines
as a unified paradigm to describe, design and implement emerging social
applications and services. To do that, we revisited the concept of relationship
and extend the notion of Social Machines to establish a common abstraction
model that is used for blending computational and social elements into
software. Second, to describe social machines, this proposal presents an analysis
guideline that addresses some issues related to the engineering exercise of
existing systems. Third, we provide the Social Machine-oriented
Architecture (SoMAr) - a hybrid style to design social machines through the
combination of different principles from current software engineering practice.
Finally, we discuss the experiences and lessons learned from applying the social
machines paradigm in different contexts.",machinelearning,"Social machines: a unified paradigm to describe, design and implement emerging social systems The open, distributed approach of the Web and the relationship’s prevalence of
applications and services are transforming both the way we develop software
and how they operate and interact with each other. As a result, a novel breed of
applications is emerging, and consequently new mental models are needed to
deal with them. In this context, Social Machines appear as a promising model
for developing software. However, it is a fresh topic, with concepts and
definitions coming from different research fields, making a unified
understanding of the concept a somewhat challenging endeavor. In this thesis
we provide a more coherent conceptual basis for understanding Social Machines
as a unified paradigm to describe, design and implement emerging social
applications and services. To do that, we revisited the concept of relationship
and extend the notion of Social Machines to establish a common abstraction
model that is used for blending computational and social elements into
software. Second, to describe social machines, this proposal presents an analysis
guideline that addresses some issues related to the engineering exercise of
existing systems. Third, we provide the Social Machine-oriented
Architecture (SoMAr) - a hybrid style to design social machines through the
combination of different principles from current software engineering practice.
Finally, we discuss the experiences and lessons learned from applying the social
machines paradigm in different contexts."
3,Um método de aprendizagem seqüencial com filtro de Kalman e Extreme Learning Machine para problemas de regressão e previsão de séries temporais,"Em aplicações de aprendizagem de máquina, é comum encontrar situações onde o
conjunto de entrada não está totalmente disponível no início da fase de treinamento. Uma solução
conhecida para essa classe de problema é a realização do processo de aprendizagem através do
fornecimento sequencial das instâncias de treinamento. Entre as abordagens mais recentes para
esses métodos, encontram-se as baseadas em redes neurais do tipo Single Layer Feedforward
Network (SLFN), com destaque para as extensões da Extreme Learning Machine (ELM) para
aprendizagem sequencial.
A versão sequencial da ELM, chamada de Online Sequential Extreme Learning Machine
(OS-ELM), utiliza uma solução recursiva de mínimos quadrados para atualizar os pesos de
saída da rede através de uma matriz de covariância. Entretanto, a implementação da OS-ELM e
suas extensões sofrem com o problema de multicolinearidade entre os elementos da matriz de
covariância.
Essa tese introduz um novo método para aprendizagem sequencial com capacidade para
tratar os efeitos da multicolinearidade. Chamado de Kalman Learning Machine (KLM), o
método proposto utiliza o filtro de Kalman para a atualização sequencial dos pesos de saída
de uma SLFN baseada na OS-ELM. Esse trabalho também propõe uma abordagem para a
estimativa dos parâmetros do filtro, com o objetivo de diminuir a complexidade computacional
do treinamento. Além disso, uma extensão do método chamada de Extended Kalman Learning
Machine (EKLM) é apresentada, voltada para problemas onde a natureza do sistema em estudo
seja não linear.
O método proposto nessa tese foi comparado com alguns dos mais recentes e efetivos
métodos para o tratamento de multicolinearidade em problemas de aprendizagem sequencial. Os
experimentos executados mostraram que o método proposto apresenta um desempenho melhor
que a maioria dos métodos do estado da arte, quando medidos o de erro de previsão e o tempo
de treinamento. Um estudo de caso foi realizado, aplicando o método proposto a um problema
de previsão de séries temporais para o mercado financeiro. Os resultados confirmaram que o
KLM consegue simultaneamente reduzir o erro de previsão e o tempo de treinamento, quando
comparado com os demais métodos investigados nessa tese.",machinelearning,"Um método de aprendizagem seqüencial com filtro de Kalman e Extreme Learning Machine para problemas de regressão e previsão de séries temporais Em aplicações de aprendizagem de máquina, é comum encontrar situações onde o
conjunto de entrada não está totalmente disponível no início da fase de treinamento. Uma solução
conhecida para essa classe de problema é a realização do processo de aprendizagem através do
fornecimento sequencial das instâncias de treinamento. Entre as abordagens mais recentes para
esses métodos, encontram-se as baseadas em redes neurais do tipo Single Layer Feedforward
Network (SLFN), com destaque para as extensões da Extreme Learning Machine (ELM) para
aprendizagem sequencial.
A versão sequencial da ELM, chamada de Online Sequential Extreme Learning Machine
(OS-ELM), utiliza uma solução recursiva de mínimos quadrados para atualizar os pesos de
saída da rede através de uma matriz de covariância. Entretanto, a implementação da OS-ELM e
suas extensões sofrem com o problema de multicolinearidade entre os elementos da matriz de
covariância.
Essa tese introduz um novo método para aprendizagem sequencial com capacidade para
tratar os efeitos da multicolinearidade. Chamado de Kalman Learning Machine (KLM), o
método proposto utiliza o filtro de Kalman para a atualização sequencial dos pesos de saída
de uma SLFN baseada na OS-ELM. Esse trabalho também propõe uma abordagem para a
estimativa dos parâmetros do filtro, com o objetivo de diminuir a complexidade computacional
do treinamento. Além disso, uma extensão do método chamada de Extended Kalman Learning
Machine (EKLM) é apresentada, voltada para problemas onde a natureza do sistema em estudo
seja não linear.
O método proposto nessa tese foi comparado com alguns dos mais recentes e efetivos
métodos para o tratamento de multicolinearidade em problemas de aprendizagem sequencial. Os
experimentos executados mostraram que o método proposto apresenta um desempenho melhor
que a maioria dos métodos do estado da arte, quando medidos o de erro de previsão e o tempo
de treinamento. Um estudo de caso foi realizado, aplicando o método proposto a um problema
de previsão de séries temporais para o mercado financeiro. Os resultados confirmaram que o
KLM consegue simultaneamente reduzir o erro de previsão e o tempo de treinamento, quando
comparado com os demais métodos investigados nessa tese."
4,Development of machine and deep learning based models for risk and reliability problems,"Artificial intelligence-based algorithms have evolved dramatically over the last couple of decades. Specifically, Machine Learning (ML) and Deep Learning (DL) models have emerged as solutions for many tasks previously unreachable, bringing innovation to the industry, with autonomous driving cars and smart houses, and revolutionizing the society with applications going from movie recommendation to medical diagnosis. In this context, this thesis proposes and brings discussion to ML and DL methodologies successfully developed for three distinct problems in applications related to risk and reliability engineering. In the first, a drowsiness detection model is developed to avoid accidents caused by inattention in the context of human reliability. The second problem deals with estimations of remaining useful life of bearings in the prognostic and health management context. In the last problem, a system to detect usage of personal protective equipment in the context to support safety monitoring is presented. In ML methodologies, support vector machines are used, while convolutional neural networks are applied to DL models. Considering the availability and accessibility of datasets, the obtained results demonstrate adequation of methodologies as tools to provide valuable information to support decisions.",machinelearning,"Development of machine and deep learning based models for risk and reliability problems Artificial intelligence-based algorithms have evolved dramatically over the last couple of decades. Specifically, Machine Learning (ML) and Deep Learning (DL) models have emerged as solutions for many tasks previously unreachable, bringing innovation to the industry, with autonomous driving cars and smart houses, and revolutionizing the society with applications going from movie recommendation to medical diagnosis. In this context, this thesis proposes and brings discussion to ML and DL methodologies successfully developed for three distinct problems in applications related to risk and reliability engineering. In the first, a drowsiness detection model is developed to avoid accidents caused by inattention in the context of human reliability. The second problem deals with estimations of remaining useful life of bearings in the prognostic and health management context. In the last problem, a system to detect usage of personal protective equipment in the context to support safety monitoring is presented. In ML methodologies, support vector machines are used, while convolutional neural networks are applied to DL models. Considering the availability and accessibility of datasets, the obtained results demonstrate adequation of methodologies as tools to provide valuable information to support decisions."
5,Automação de controle de acesso por reconhecimento facial desenvolvido em linguagem Python,"Esta pesquisa tem como objetivo propor um método de automação de controle de acesso de forma fácil, simples, segura e de baixo custo, utilizando-se de tecnologias modernas de hardware e software. No método proposto foram usados algoritmos de machine learning, através de redes neurais convolucionais, em linguagem Python. Primeiramente, foi feita uma programação executada num computador com sistema operacional Linux. Em seguida, com a validação do
software, a implementação foi feita numa raspberry pi 3 modelo B, acoplada a uma
câmera, para captura de imagens e realização do reconhecimento facial; e a um
pequeno circuito eletrônico que simulou uma fechadura eletrônica. Esta, ao
reconhecer uma face, permitiu o acesso. Como o reconhecimento é feito através da
escolha de um limiar, o modelo mostrou-se flexível, tornando-se cada vez mais
restritivo à medida que este limiar foi reduzido. Concluiu-se, através de testes com
esse limiar, um aumento na confiabilidade ao reduzi-lo, pois diminuiu a probabilidade de se reconhecer um falso positivo.",machinelearning,"Automação de controle de acesso por reconhecimento facial desenvolvido em linguagem Python Esta pesquisa tem como objetivo propor um método de automação de controle de acesso de forma fácil, simples, segura e de baixo custo, utilizando-se de tecnologias modernas de hardware e software. No método proposto foram usados algoritmos de machine learning, através de redes neurais convolucionais, em linguagem Python. Primeiramente, foi feita uma programação executada num computador com sistema operacional Linux. Em seguida, com a validação do
software, a implementação foi feita numa raspberry pi 3 modelo B, acoplada a uma
câmera, para captura de imagens e realização do reconhecimento facial; e a um
pequeno circuito eletrônico que simulou uma fechadura eletrônica. Esta, ao
reconhecer uma face, permitiu o acesso. Como o reconhecimento é feito através da
escolha de um limiar, o modelo mostrou-se flexível, tornando-se cada vez mais
restritivo à medida que este limiar foi reduzido. Concluiu-se, através de testes com
esse limiar, um aumento na confiabilidade ao reduzi-lo, pois diminuiu a probabilidade de se reconhecer um falso positivo."
6,Visão computacional aplicada a gestão da manutenção de sistemas de engrenagens,"O desgaste progressivo de peças rotativas como engrenagens é um problema recorrente,
principalmente para sistemas de produção cada vez mais sensíveis as variações destes
componentes. Por isso, este trabalho propõe um framework para detectar desgastes superficiais
em engrenagens de dentes retos, por meio de imagens digitais superficiais de dentes de
engrenagem. Com o objetivo de responder a quatro questões norteadoras sobre o tema visão
computacional e gestão da manutenção, uma revisão sistemática foi elaborada por meio de
pesquisas realizadas nas bases de dados IEEE, Scopus, ScienceDirect e Web of Science e o
software Start foi utilizado no processo metodológico. Uma bancada experimental foi
construída para permitir a captura de imagens de dentes de engrenagem por meio de câmeras
endoscópicas. As imagens foram selecionadas, pré-processadas, armazenadas em um banco de
dados e utilizadas no estudo experimental do framework proposto. Três métodos foram
estudados no framework para a identificação de desgastes em engrenagens de dentes retos:
detecção de bordas, extração de recursos Gray Level Co-occurrence Matrix (GLCM) aplicados
em algoritmos de machine learning e deep learning com Convolutional Neural Network
(CNN). Os resultados foram acurácia de 85% com o algoritmo de detecção de bordas, acima de
60% para o classificador Support Vector Machine (SVM) e superior a 70% para o classificador
K - Nearest Neighbors (KNN), além disso o algoritmo PCA analisou o comportamento da
combinação dos recursos energy, homogeneity, contrast, dissimilarity, entropy e correlation
concluindo que o distanciamento gradativo dos componentes principais caracteriza a formação
e avanço do desgaste e a Convolutional Neural Network (CNN) obteve acurácia de 99,999981%
e taxa de loss de 1,8822 10 ^ 5  − no treinamento e CAR de 91,6666%, F1_Score de 90,9090% 
e Recall de 83,3334% durante a etapa de teste.",machinelearning,"Visão computacional aplicada a gestão da manutenção de sistemas de engrenagens O desgaste progressivo de peças rotativas como engrenagens é um problema recorrente,
principalmente para sistemas de produção cada vez mais sensíveis as variações destes
componentes. Por isso, este trabalho propõe um framework para detectar desgastes superficiais
em engrenagens de dentes retos, por meio de imagens digitais superficiais de dentes de
engrenagem. Com o objetivo de responder a quatro questões norteadoras sobre o tema visão
computacional e gestão da manutenção, uma revisão sistemática foi elaborada por meio de
pesquisas realizadas nas bases de dados IEEE, Scopus, ScienceDirect e Web of Science e o
software Start foi utilizado no processo metodológico. Uma bancada experimental foi
construída para permitir a captura de imagens de dentes de engrenagem por meio de câmeras
endoscópicas. As imagens foram selecionadas, pré-processadas, armazenadas em um banco de
dados e utilizadas no estudo experimental do framework proposto. Três métodos foram
estudados no framework para a identificação de desgastes em engrenagens de dentes retos:
detecção de bordas, extração de recursos Gray Level Co-occurrence Matrix (GLCM) aplicados
em algoritmos de machine learning e deep learning com Convolutional Neural Network
(CNN). Os resultados foram acurácia de 85% com o algoritmo de detecção de bordas, acima de
60% para o classificador Support Vector Machine (SVM) e superior a 70% para o classificador
K - Nearest Neighbors (KNN), além disso o algoritmo PCA analisou o comportamento da
combinação dos recursos energy, homogeneity, contrast, dissimilarity, entropy e correlation
concluindo que o distanciamento gradativo dos componentes principais caracteriza a formação
e avanço do desgaste e a Convolutional Neural Network (CNN) obteve acurácia de 99,999981%
e taxa de loss de 1,8822 10 ^ 5  − no treinamento e CAR de 91,6666%, F1_Score de 90,9090% 
e Recall de 83,3334% durante a etapa de teste."
7,A machine learning-based methodology for automated classification of risks in an oil refinery,"Oil refineries process hazardous substances at extreme operational conditions to produce valuable products. The necessary and required risk assessment is generally rather time-consuming and involves a multidisciplinary group of experts to identify potential accidental hypotheses, and compute their frequency and severity. With respect to this context, in this work, we present a machine learning method to mine out useful knowledge and information from available data of past risk assessments. The aim is at automatically classifying possible accident scenarios that may occur in oil refinery processing units by using SVM (support vector machines). Data from a previous qualitative risk assessment of an ADU (atmospheric distillation unit) of a real oil refinery is used to demonstrate the applicability of the SVM-based approach. The test classification was made with an F1 score of 89.95%. In this way, the results obtained showed that the proposed method is promising for efficiently performing automated risk assessment of oil refineries.",machinelearning,"A machine learning-based methodology for automated classification of risks in an oil refinery Oil refineries process hazardous substances at extreme operational conditions to produce valuable products. The necessary and required risk assessment is generally rather time-consuming and involves a multidisciplinary group of experts to identify potential accidental hypotheses, and compute their frequency and severity. With respect to this context, in this work, we present a machine learning method to mine out useful knowledge and information from available data of past risk assessments. The aim is at automatically classifying possible accident scenarios that may occur in oil refinery processing units by using SVM (support vector machines). Data from a previous qualitative risk assessment of an ADU (atmospheric distillation unit) of a real oil refinery is used to demonstrate the applicability of the SVM-based approach. The test classification was made with an F1 score of 89.95%. In this way, the results obtained showed that the proposed method is promising for efficiently performing automated risk assessment of oil refineries."
8,Time Aware Sigmoid Optimization : a new learning rate scheduling method,"The correct choice of hyperparameters for the training of a deep neural network is a critical step to achieve a good result. Good hyperparameters would give rise to faster training and a lower error rate, while bad choices could make the network not even converge, rendering the whole training process useless. Among all the existing hyperparameters, perhaps the one with the greatest importance is the learning rate, which controls how the weights of a neural network are going to change at each interaction. In that context, by analyzing some theoretical findings in the area of information theory and topology of the loss function in deep learning, the author was able to come up with a new training rate decay method called Training Aware Sigmoid Optimization (TASO), which proposes a dual-phase during training. The proposed method aims to improve training, achieving a better inference performance in a reduced amount of time. A series of tests were done to evaluate this hypothesis, comparing TASO with different training methods such as Adam, ADAGrad, RMSProp, and SGD. Results obtained on three datasets (MNIST, CIFAR10, and CIFAR100) and with three different architectures (Lenet, VGG, and RESNET) have shown that TASO presents, in fact, an overall better performance than the other evaluated methods.",machinelearning,"Time Aware Sigmoid Optimization : a new learning rate scheduling method The correct choice of hyperparameters for the training of a deep neural network is a critical step to achieve a good result. Good hyperparameters would give rise to faster training and a lower error rate, while bad choices could make the network not even converge, rendering the whole training process useless. Among all the existing hyperparameters, perhaps the one with the greatest importance is the learning rate, which controls how the weights of a neural network are going to change at each interaction. In that context, by analyzing some theoretical findings in the area of information theory and topology of the loss function in deep learning, the author was able to come up with a new training rate decay method called Training Aware Sigmoid Optimization (TASO), which proposes a dual-phase during training. The proposed method aims to improve training, achieving a better inference performance in a reduced amount of time. A series of tests were done to evaluate this hypothesis, comparing TASO with different training methods such as Adam, ADAGrad, RMSProp, and SGD. Results obtained on three datasets (MNIST, CIFAR10, and CIFAR100) and with three different architectures (Lenet, VGG, and RESNET) have shown that TASO presents, in fact, an overall better performance than the other evaluated methods."
9,Time series forecasting with deep forest regression,"A time series is a collection of ordered observations which are usually measured in
repeated intervals. Time series forecasting is an area of research which studies
methods for prediction of future values in a series. Forecasting methods range from
statistical procedures, such as ARIMA to, more recently, machine learning
approaches. Deep neural networks (DNNs) have shown good performance on a
great number of tasks, including time series forecasting for which DNNs are
considered state-of-the-art. Most deep models today are neural networks, but despite
its popularity and proven competitive performance when compared to other machine
learning algorithms, DNNs still face some limitations. Most notably, they usually
require a large number of training examples - which could be unavailable for smaller
time series - and they possess a large number of hyper-parameters which need to be
tuned to individual datasets. Multi-grained cascade forest (gcForest) is a deep
machine learning algorithm which has been proposed for classification and that
addresses DNNs limitations while replicating the features which are responsible for
the success of this type of model. This dissertation’s goal is to adapt the original
gcForest algorithm in order for it to work with regression problems, enabling it to be
applied to time series forecasting. The influence of the two different stages of
gcForest - multi-grained scanning and cascade forest, is also investigated. Also
explored is the possibility of adding an additional model to the end of the cascade
forest structure and thus change the way the final result is calculated. Changes to the
algorithm are presented and its performance is evaluated on four different time series
datasets, according to three performance metrics: mean squared error, mean
absolute error and mean absolute percentage error. Results show that gcForest
achieves competitive performance on all four datasets, when compared to traditional
machine learning models.",machinelearning,"Time series forecasting with deep forest regression A time series is a collection of ordered observations which are usually measured in
repeated intervals. Time series forecasting is an area of research which studies
methods for prediction of future values in a series. Forecasting methods range from
statistical procedures, such as ARIMA to, more recently, machine learning
approaches. Deep neural networks (DNNs) have shown good performance on a
great number of tasks, including time series forecasting for which DNNs are
considered state-of-the-art. Most deep models today are neural networks, but despite
its popularity and proven competitive performance when compared to other machine
learning algorithms, DNNs still face some limitations. Most notably, they usually
require a large number of training examples - which could be unavailable for smaller
time series - and they possess a large number of hyper-parameters which need to be
tuned to individual datasets. Multi-grained cascade forest (gcForest) is a deep
machine learning algorithm which has been proposed for classification and that
addresses DNNs limitations while replicating the features which are responsible for
the success of this type of model. This dissertation’s goal is to adapt the original
gcForest algorithm in order for it to work with regression problems, enabling it to be
applied to time series forecasting. The influence of the two different stages of
gcForest - multi-grained scanning and cascade forest, is also investigated. Also
explored is the possibility of adding an additional model to the end of the cascade
forest structure and thus change the way the final result is calculated. Changes to the
algorithm are presented and its performance is evaluated on four different time series
datasets, according to three performance metrics: mean squared error, mean
absolute error and mean absolute percentage error. Results show that gcForest
achieves competitive performance on all four datasets, when compared to traditional
machine learning models."
